"Point"
"C-17, 24, catalunya"
"GIV-5332, 0, catalunya"
"C-13, 72, catalunya"
"AP-7, 86, catalunya"
"C-14, 131, catalunya"
"C-14, 29, catalunya"
"AP-7, 337, catalunya"
"AP-7, 198, catalunya"
"C-26, 24, catalunya"
"Paratge de les Brugueres, 0, catalunya"
"GI-524, 10, catalunya"
"C-12, 24, catalunya"
"AP-7, 247, catalunya"
"C-31, 373, catalunya"
"GI-8521, 0, catalunya"
"N-II, 681, catalunya"
"TP-2311, 1, catalunya"
"AP-2, 167, catalunya"
"BV-5101, 2, catalunya"
"C-16, 24, catalunya"
"GI-623, 18, catalunya"
"A-2, 594, catalunya"
"B-225, 2, catalunya"
"C-17, 10, catalunya"
"N-II, 693, catalunya"
"C-1415b, 9.2, catalunya"
"A-2, 465, catalunya"
"C-58, 7.3, catalunya"
"N-152a, 25, catalunya"
"C-25, 170, catalunya"
"B-224, 12, catalunya"
"C-32, 99, catalunya"
"A-2, 545, catalunya"
"N-420, 854, catalunya"
"AP-7, 328, catalunya"
"A-2, 473, catalunya"
"C-12, 15, catalunya"
"A-7, 1153, catalunya"
"B-122, 18, catalunya"
"A-2, 586, catalunya"
"A-2, 593´9, catalunya"
"A-2, 707, catalunya"
"B-10 (Ronda Litoral), 3.5, catalunya"
"N-420, 803, catalunya"
"N-260, 204, catalunya"
"C-65, 22, catalunya"
"C-25, 212, catalunya"
"C-35, 48, catalunya"
"A-2, 450, catalunya"
"AP-7, 243, catalunya"
"A-2, 569, catalunya"
"T-340, 15.5, catalunya"
"C-14, 13.8, catalunya"
"C-12, 121, catalunya"
"C-32, 55, catalunya"
"C-13, 16, catalunya"
"C-32, 101, catalunya"
"C-26, 120, catalunya"
"C-32, 60, catalunya"
"AP-7, 233, catalunya"
"C-35, 66, catalunya"
"C-14, 62, catalunya"
"C-51, 14.5, catalunya"
"T-204, 5, catalunya"
"T-722, 9, catalunya"
"C-12, 42, catalunya"
"N-340, 1.096, catalunya"
"N-420, 806, catalunya"
"C-65, 10, catalunya"
"GI-682, 17, catalunya"
"N-260, 34’6, catalunya"
"B-221, 3, catalunya"
"T-244, 13, catalunya"
"C-13, 30, catalunya"
"C-14, 21, catalunya"
"C-58, 0, catalunya"
"C-35, 46, catalunya"
"LL-11, 8, catalunya"
"TV-3319, 5, catalunya"
"C-58, 17, catalunya"
"C-37z, 88, catalunya"
"C-16, 57, catalunya"
"B-24, 6, catalunya"
"C-1413a, 6, catalunya"
"C-25, 171, catalunya"
"C-15, 14, catalunya"
"N-340, 1.172, catalunya"
"GI-623, 1, catalunya"
"C-26, 46, catalunya"
"C-31, 320, catalunya"
"C-59, 17, catalunya"
"C-59, 5.5, catalunya"
"C-55, 41, catalunya"
"C-31, 209, catalunya"
"A-2, 582, catalunya"
"N-340, 1.167, catalunya"
"C-25, 132, catalunya"
"C-55, 18, catalunya"
"C-31, 367, catalunya"
"C-58, 5, catalunya"
"B-20, 1, catalunya"
"C-32, 103.5, catalunya"
"N-II, 722, catalunya"
"C-35, 51, catalunya"
"C-31, 136, catalunya"
"T-330, 16, catalunya"
"C-14, 144, catalunya"
"C-37, 155, catalunya"
"GIV-6741, 3, catalunya"
"N-II, 770, catalunya"
"B-10, 3’6, catalunya"
"C-243a, 9.9, catalunya"
"C-12, 204, catalunya"
"B-682, 0, catalunya"
"C-25, 212, catalunya"
"AP-7, 114, catalunya"
"T-340, 15, catalunya"
"GI-523, 2, catalunya"
"N-340, 1.175, catalunya"
"N-260, 261, catalunya"
"A-7, 1.147, catalunya"
"N-230, 118, catalunya"
"A-27, 2, catalunya"
"N-260, 179, catalunya"
" C-14, 135, catalunya"
" A-2, 530, catalunya"
" C-12, 173, catalunya"
" TV-3422, 8, catalunya"
" AP-7, 334, catalunya"
"  GIV-6321, 1, catalunya"
" C-14, 131, catalunya"
" N-340, 1.066, catalunya"
" C-32, 97.5, catalunya"
" T-310, 8, catalunya"
" Camí del Riu, 1, catalunya"
"BV-2135, 2, catalunya"
"N-340, 1202.5, catalunya"
"C-35, 47, catalunya"
"BP-1413, 3, catalunya"
"C-32, 26, catalunya"
"AP-7, 64, catalunya"
"N-II, 747, catalunya"
"TV-2126, 1, catalunya"
"BV-4135, 2, catalunya"
"N-340, 1.229, catalunya"
"C-63, 8, catalunya"
"N-IIa, 711, catalunya"
"C-63, 31, catalunya"
"A-7, 1.152, catalunya"
"N-II, 515, catalunya"
"TV-3405, 1, catalunya"
"AP-7, 1, catalunya"
"A-7, 1.143, catalunya"
"C-16, 111, catalunya"
"C-25, 166.5, catalunya"
"C-25, 166.5, catalunya"
"C-17z, 72, catalunya"
"N-340, 1.059, catalunya"
"N-260, 189, catalunya"
"N-420, 812, catalunya"
"C-31, 370, catalunya"
"GI-682, 7, catalunya"
"N-IIa, 710, catalunya"
"BV-4608, 20, catalunya"
"C-244, 9, catalunya"
"N-340, 1.101, catalunya"
"C-25, 146, catalunya"
"C-14, 158, catalunya"
"C-15, 38, catalunya"
"C-31, 136, catalunya"
"C-14, 3, catalunya"
"C-25D, 0.5, catalunya"
"C-65, 28, catalunya"
"Camí de l’Estela, 0, catalunya"
"C-12, 151, catalunya"
"N-240, 85, catalunya"
"N-340, 1.067, catalunya"
"C-12, 107, catalunya"
"C-12, 33, catalunya"
"A-2, 603.5, catalunya"
"AP-7, 58, catalunya"
"C-44, 22, catalunya"
"BV-5101, 2, catalunya"
"C-1413a, 5.5, catalunya"
"LV-9124, 5, catalunya"
"Pista forestal propera a la C-61, 13, catalunya"
"C-1412a, 24, catalunya"
"B-224, 11, catalunya"
"C-31, 154, catalunya"
"A-2, 600, catalunya"
"N-340, 1.136, catalunya"
"TP-2124, 2, catalunya"
"N-II, 658, catalunya"
"BV-5105, 1, catalunya"
"GIV-6024, 3, catalunya"
"B-140, 4, catalunya"
"C-17, 64, catalunya"
"C-63, 13, catalunya"
"C-12, 108, catalunya"
"C-155, 14, catalunya"
"A-2, 709, catalunya"
"C-37, 2, catalunya"
"C-32, 14, catalunya"
"C-16, 73, catalunya"
"C-1413a, 3, catalunya"
"N-II, 778, catalunya"
"C-25, 202, catalunya"
"N-II, 773, catalunya"
"A-7, 1.154, catalunya"
"N-340, 1.190, catalunya"
"T-11, 14, catalunya"
"C-60, 9, catalunya"
"AP-7, 343, catalunya"
"GI-555, 7, catalunya"
"A-7, 1.129, catalunya"
"B-140, 7, catalunya"
"N-260, 20, catalunya"
"N-230, 177, catalunya"
"C-14, 128, catalunya"
"C-14, 11, catalunya"
"C-37, 160, catalunya"
"L-702, 6, catalunya"
"A-7, 1.135, catalunya"
"AP-7, 162, catalunya"
"C-37, 155, catalunya"
"TP-7225, 5, catalunya"
"B-20, 20, catalunya"
"C-58c, 1, catalunya"
"C-66, 19, catalunya"
"BV-5105, 0, catalunya"
"C-61, 1, catalunya"
"TV-3409, 0, catalunya"
"GI-633, 5, catalunya"
"B-30, 4, catalunya"
"C-31, 176, catalunya"
"L-303, 16, catalunya"
"AP-7, 64, catalunya"
"N-260, 284, catalunya"
"C-352, 21, catalunya"
"AP-2, 211, catalunya"
"B-23, 14, catalunya"
"N-240, 57, catalunya"
"C-63, 13, catalunya"
"C-15, 35, catalunya"
"BV-5224, 2.7, catalunya"
"N-II, 719, catalunya"
"A-2, 463, catalunya"
"C-45, 14.5, catalunya"
"C-12, 7, catalunya"
"N-230, 176, catalunya"
"C-26, 121, catalunya"
"A-2, 564, catalunya"
"AP-7, 105, catalunya"
"C-14, 107, catalunya"
"C-32, 111, catalunya"
"N-II, 726, catalunya"
"C-14, 21, catalunya"
"N-II, 632, catalunya"
"C-12, 100.5, catalunya"
"BV-2115, 7, catalunya"
"N-260, 125, catalunya"
"N-240, 75, catalunya"
"A-2, 708, catalunya"
"N-260, 170, catalunya"
"C-25, 113, catalunya"
"N-240, 38, catalunya"
"C-14, 22, catalunya"
"C-32, 92, catalunya"
"N-260, 245, catalunya"
"Dissabte, 8 de juliol de 2017 HORA D'AVÍS10.37 hVIAC-13, 111, catalunya"
"C-13, 70, catalunya"
"B-150, 1, catalunya"
"C-31, 212, catalunya"
"N-340, 1222, catalunya"
"A-2, 609, catalunya"
"LV-4241b, 25, catalunya"
"C-13, 78, catalunya"
"B-224, 23, catalunya"
"C-37, 76, catalunya"
"C-17, 33, catalunya"
"BV-1462, 10, catalunya"
"C-31, 326, catalunya"
"N-260z, 75, catalunya"
"C-31, 218, catalunya"
"C-31, 167, catalunya"
"C-12, 99, catalunya"
"TV-3405, 9, catalunya"
"AP-7, 157, catalunya"
"B-20, 21, catalunya"
"L-500, 14, catalunya"
"A-7, 1.141, catalunya"
"C-233, 77, catalunya"
"C-60, 5, catalunya"
"C-352, 26, catalunya"
"C-14, 80, catalunya"
"A-2, 504, catalunya"
"BP-4653, 11, catalunya"
"N-II, 738, catalunya"
"N-420, 791, catalunya"
"L-310, 12, catalunya"
"N-340, 1.061, catalunya"
"C-14, 91, catalunya"
"N-420a,  880, catalunya"
"N-340, 1.242, catalunya"
"N-II, 714, catalunya"
"BP-5002, 4, catalunya"
"B-23, 12, catalunya"
"N-420, 813, catalunya"
"AP-7, 7, catalunya"
"GI-510, 2, catalunya"
"GI-644, 5, catalunya"
"N-II, 769, catalunya"
"L-512, 3, catalunya"
"C-35, 69, catalunya"
"BP-2121, 7, catalunya"
"C-59, 5, catalunya"
"C-13, 25, catalunya"
"A-2, 537, catalunya"
"C-26, 8, catalunya"
"N-420, 864, catalunya"
"N-340, 1075, catalunya"
"C-28, 29, catalunya"
"B-142, 8, catalunya"
"TV-3022, 3, catalunya"
"BV-4511, 9, catalunya"
"TP-2031, 19, catalunya"
"BP-1121, 11, catalunya"
"C-35, 63, catalunya"
